"title release year","Game total","","title free","game total","","title genre","top 10 performing","","title genre","bottom 10 performing"
"2018","32","","Paid","203","","Open World","30","","2D Fighter","1"
"2017","30","","Free","47","","FPS","20","","2D","1"
"2016","28","","","","","Survival","14","","Base Building","1"
"2019","25","","","","","Strategy","11","","Automobile Sim","1"
"2020","24","","","","","Co-op","7","","Automation","1"
"2021","21","","","","","Horror","7","","Anime","1"
"2015","20","","","","","Open World Survival Craft","7","","Action-Adventure","1"
"2013","17","","","","","Action","6","","Beautiful","1"
"2014","13","","","","","Medieval","6","","Board Game","1"
"2012","12","","","","","RPG","6","","Building","1"
"","","","","","","","","","",""
"","","","","","","","","","",""
"title paid","Game total (highest)","","title paid","game total (lowest)","","title paid","title name (top 5 games with highest price point)","","title paid","title name (top 5 games with lowest price point)"
"$19.99","47","","$20.99","1","","59.99","ELDEN RING","","0.99","POSTAL 2"
"0","47","","$2.99","1","","59.99","DARK SOULSâ„¢ III","","0.99","Black Desert"
"$39.99","24","","$17.99","1","","59.99","Red Dead Redemption 2","","1.24","Plants vs. Zombies GOTY Edition"
"$9.99","23","","$15.99","1","","59.99","No Man's Sky","","1.99","Stick Fight: The Game"
"$29.99","20","","$1.24","1","","59.99","Sekiroâ„¢: Shadows Die Twice - GOTY Edition","","1.99","Mirror"
"$14.99","18","","$12.49","1","","","","","",""
"$59.99","18","","$30.00","1","","","","","",""
"$24.99","10","","$37.49","1","","","","","",""
"$49.99","7","","$5.99","1","","","","","",""
"$4.99","4","","$6.59","1","","","","","",""
